id	title
0w1aFNuRl8c	#Shorts / 국회 신뢰도 10년째 '꼴찌'‥의원 수 유지에 딱 좋은 '핑계' (2023.03.26/뉴스데스크/MBC)
KOUcWCE5OEk	#Shorts / 헌재 판결 후폭풍‥'한동훈 거취' 충돌 예고 (2023.03.27/뉴스투데이/MBC)
EmhMzWbtqMY	"#Shorts / [톱플레이] '고의는 아니었어'‥""""앞쪽으로 쳐야지!"""" (2023.03.26/뉴스데스크/MBC) (2023.03.26/뉴스데스크/MBC)"
KFn7GexbLtg	2023년 3월 25일 (토) 오늘의 주요 뉴스 #Shorts
S9L3kasQXR8	#Shorts / [와글와글] 의자야? 운동기구야?‥맥도날드 의자에 갑론을박 (2023.03.24/뉴스투데이/MBC)
kCRCOzT6RG0	#Shorts / [이 시각 세계] 미국 뉴욕 31층 창가에 앉은 남성 (2023.03.24/뉴스투데이/MBC)
Iae1TjXjDTQ	"#Shorts / [자막뉴스] """"한일합방은 우리가 힘 없어서.."""" 여당 의원은 어쩌다 이런 말을? (2023.03.24/MBC뉴스)"
Zr6Op74Tkpg	"#Shorts / 윤경림 KT대표 후보, 돌연 사퇴‥""""더 버티지 못할 것 같다"""" (2023.03.23/뉴스데스크/MBC)"
MTwhVJpES28	#Shorts / [문화연예 플러스] 유난희, 판매 도중 숨진 개그우먼 언급 (2023.03.24/뉴스투데이/MBC)
a4Agc3KHtW8	서울, 얼룩말 탈출 대소동  #Shorts (2023.03.24/MBC News)
e55K-DW9qOY	"#Shorts / [와글와글] """"보냉 가방에 웬 쓰레기""""‥배송 기사의 호소 (2023.03.24/뉴스투데이/MBC)"
UANalK3RNt8	#Shorts / [이 시각 세계] '히틀러 아들' 옷 입은 팬 '영구 입장 금지' (2023.03.24/뉴스투데이/MBC)
4AuHzeloHbg	#Shorts / [날씨] 다소 쌀쌀한 출근길‥서쪽 지방, 짙은 황사와 미세먼지 주의보 (2023.03.24/뉴스투데이/MBC)
j__ENOyfvUg	#Shorts / '테라·루나 사태' 권도형 몬테네그로 공항서 체포 (2023.03.24/뉴스투데이/MBC)
Hkc7oHMIa1M	#Shorts / 논란의 '멍게 칼럼'‥당사자와 통화해 보니 (2023.03.23/뉴스데스크/MBC)
MNjdaRDOFu0	"#Shorts / """"야반도주·위헌"""" 반발했지만‥""""헌법, 검사 수사권 보장 안 해"""" (2023.03.23/뉴스데스크/MBC)"
yPJAJ56cv3I	#Shorts / 2살 얼룩말 어린이대공원 탈출‥마취총 맞고 3시간 만에 포획 (2023.03.23/뉴스데스크/MBC)
-52wTDpa0Dg	#Shorts / 우크라이나 고교 기숙사 피격‥49명 사상 (2023.03.23/12MBC뉴스)
N-ZXJBrlrMw	"#Shorts / [자막뉴스] """"들어! 어디서 배워먹은 거야?"""" 또 삿대질하며 반말로 '버럭' (2023.03.23/MBC뉴스)"
G7lyMeSyWd4	"#Shorts / '입영 대기' 줄인다‥ """"취미만 있어도 특기병 지원 가능"""" (2023.03.22/뉴스데스크/MBC)"
0qB94N20JYA	#Shorts / [이 시각 세계] 귀네스 팰트로 '스키 뺑소니' 의혹으로 피소 (2023.03.23/뉴스투데이/MBC)
pXisjB5cvT0	#Shorts / [와글와글] 원룸 얻어줬더니 '쓰레기장' 만든 직원 (2023.03.23/뉴스투데이/MBC)
wkgNiDziMeU	#Shorts / [문화연예 플러스] 유연석, '아파트 경비원 모욕' 주장에 법적 대응 (2023.03.23/뉴스투데이/MBC)
X5-_yaTnA_Q	"#Shorts / [이 시각 세계] """"따라오세요"""" 우크라군 드론 쪽지에 구조된 부부 (2023.03.23/뉴스투데이/MBC)"
HKp3jnIw1G8	"#Shorts / [와글와글] '경찰 피해 도망가는 트럼프'‥""""어딘가 이상해요"""" (2023.03.23/뉴스투데이/MBC)"
mnKc57kSAKs	"#Shorts / [이 시각 세계] 틱톡 CEO """"미국 사용자 정보, 중국에 넘긴 적 없어"""" (2023.03.23/뉴스투데이/MBC)"
7WguLSRCfhM	"#Shorts / """"대통령이 부끄럽다"""" vs """"역사가 평가할 것"""" (2023.03.23/뉴스투데이/MBC)"
