etag	id	date	channel	title	thumb_url	ch_title	tags	duration	view	likes	favorites	comments	topcs
ni3PUanuFls5iuTpZ23Y_kLuBDE	F6iCHQLVqvg	2022-10-25T00:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [와글와글] 한복 입고 부채춤' 문화가 중국 전통이라니‥ (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/F6iCHQLVqvg/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT50S	2540	56.0	0	9.0	NA
D51sw6J3NEauwdnphouAc8_HkmM	0Wg9Yijhekc	2022-10-25T00:15:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [이 시각 세계] 멕시코에 허리케인 상륙‥피해 속출 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/0Wg9Yijhekc/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT37S	2392	34.0	0	1.0	NA
mhrEMeSRxwcKWwXjQjH3O5rt4cw	drootltvowU	2022-10-24T23:30:02Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / 모네 작품에 으깬 감자‥'명화 테러', 이유는? (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/drootltvowU/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT52S	4759	106.0	0	14.0	NA
ShS4NeBOHNkZ6C1u9LWVTFKK15I	p7wACDIrwtY	2022-10-24T23:15:01Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / 이번엔 '원전'?‥전기차 이어 또 '암초'되나 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/p7wACDIrwtY/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT55S	3410	66.0	0	12.0	NA
qg1VAj6IEebqjfudNvdsZeP5pfA	mWPLk2mq34E	2022-10-24T23:00:30Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / ""SPC 측, 장례식장서 합의금 제시"" 어머니의 분노 (2022.10.24/뉴스데스크/MBC)"	https://i.ytimg.com/vi/mWPLk2mq34E/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT57S	6256	186.0	0	25.0	['https://en.wikipedia.org/wiki/Society']
gohZdASSAm3iV61JEjs7FB1_2Zc	0XxGXyC6g6A	2022-10-24T22:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / 김진태 ""혼란 초래해 유감""‥여당에서도 ""신중하게 처리했어야"" (2022.10.24/뉴스데스크/MBC)"	https://i.ytimg.com/vi/0XxGXyC6g6A/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT54S	12203	406.0	0	127.0	['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']
a1WWmJPjM7yNstd4Td5vuvqXmX0	uBOevPGTGMk	2022-10-24T22:30:10Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / '레고랜드발 시장 경색'에‥2050억 피하려다 50조로 대처 (2022.10.24/뉴스데스크/MBC)	https://i.ytimg.com/vi/uBOevPGTGMk/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT59S	39950	1534.0	0	184.0	['https://en.wikipedia.org/wiki/Society']
FKSsU3owQeiRks51s64J3KeCwK0	UYOfSx5eP2U	2022-10-24T22:19:08Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / 세 번째 시도만에 가까스로 착륙‥공포의 1시간 ""죽을 수도 있겠다"" (2022.10.24/뉴스데스크/MBC)"	https://i.ytimg.com/vi/UYOfSx5eP2U/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT57S	2805362	22857.0	0	1069.0	NA
Zz7R0lkcyFy_CBNusPB9v-t1oTg	L6zeXJwgTGM	2022-10-24T07:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [날씨] 한낮 기온 15도 안팎‥내일 아침 오늘보다 더 추워 (2022.10.24/뉴스외전/MBC)	https://i.ytimg.com/vi/L6zeXJwgTGM/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT56S	4084	70.0	0	3.0	NA
MaDha-Y_bnldbfDw-81uL-i37wA	JghX6XLfZ2s	2022-10-24T07:00:05Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [문화연예 플러스] 극장가 보릿고개‥하루 관객 1만 명대 (2022.10.24/뉴스투데이/MBC)	https://i.ytimg.com/vi/JghX6XLfZ2s/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT31S	5175	83.0	0	13.0	NA
